x,y,sentiment
Suki,Aang,"{'neg': 0.078, 'neu': 0.759, 'pos': 0.163, 'compound': 0.5719}"
Suki,Sokka,"{'neg': 0.036, 'neu': 0.72, 'pos': 0.244, 'compound': 0.9}"
Sokka,Sokka,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2732}"
Sokka,Suki,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Katara,Aang,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.9359}"
Aang,Appa,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7263}"
Katara,Kyoshi,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.4215}"
Aang,Aang,"{'neg': 0.02, 'neu': 0.823, 'pos': 0.158, 'compound': 0.7719}"
Aang,Koko,"{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.5983}"
Katara,Aang,"{'neg': 0.199, 'neu': 0.693, 'pos': 0.108, 'compound': -0.2732}"
Sokka,Suki,"{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.1779}"
Sokka,Sokka,"{'neg': 0.176, 'neu': 0.738, 'pos': 0.086, 'compound': -0.296}"
Suki,Sokka,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.4767}"
Suki,Sokka,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.9313}"
Aang,Sokka,"{'neg': 0.103, 'neu': 0.672, 'pos': 0.226, 'compound': 0.5399}"
Aang,Katara,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4767}"
Katara,Aang,"{'neg': 0.118, 'neu': 0.769, 'pos': 0.113, 'compound': -0.0258}"
Katara,Katara,"{'neg': 0.292, 'neu': 0.605, 'pos': 0.103, 'compound': -0.6476}"
